# 전자지급결제대행(PG)·간편결제 사업자 — **이 번호가 붙은 결제는 분류하지 않는다.**
#
# 왜 업종코드로 못 가르나. PG 는 최소 세 업종에 흩어져 등록돼 있고, 그 업종에는 진짜
# 정보서비스·금융지원 업체가 함께 들어 있다(사용자 확인 2026-08-04).
#
#   기타 금융 지원 서비스업        토스페이먼츠 · 네이버파이낸셜 · 카카오페이
#   데이터베이스 및 온라인 정보 제공업  NHN KCP · KG파이낸셜   ← 724000, 넷플릭스와 같은 코드다
#   그 외 기타 분류 안된 사업 지원 서비스업  나이스페이먼츠
#
# 그래서 **사업자번호로 막는다.** 업종코드는 "이 사업자가 무슨 일을 하는가"를 말하지,
# "이 결제가 무엇에 쓴 돈인가"를 말해 주지 않는다 — PG 를 거치면 그 둘이 어긋난다.
#
# 쓰이는 곳
#   ① 분류 — 이 번호의 업종코드는 결제 성격의 근거로 쓰지 않는다(카테고리없음).
#   ② LLM 보조 분류(§F) — 가맹점명이 PG 상호면 물어봐야 소용없다. 대상에서 뺀다.
#      단 가맹점명이 실제 가게면(`삼성물산리조트(주)에버랜드`) **그 이름으로** 분류한다.
#   ③ 확정 분류 사전(§G) — 같은 번호의 다른 행을 재사용하는 완화를 **적용하지 않는다.**
#      PG 는 한 번호에 업종이 제각각인 가맹점이 붙기 때문이다.
#
# 여기 없는 PG 는 새어 나간다. 실데이터에서 만나면 추가한다 — 목록은 자라는 것이 정상이다.
# 번호는 하이픈 없는 10자리로 적는다(원장이 그 형태로 보관한다).
#
# 사업자번호	상호
1208160844	갤럭시아머니트리(주)
8158100527	나이스페이먼츠
5248601528	네이버파이낸셜
1138144055	다날
5268700842	웰컴페이먼츠
1198646658	이노페이
1168119948	KICC
4118601799	토스페이먼츠
5278800686	카카오페이
1148605588	페이레터
1198184716	KPN
1018163383	헥토파이낸셜
2208182546	KG모빌리언스
1168143939	KIS정보통신
1138521083	NHNKCP
1058168890	엔에이치엔케이씨피
2148645634	NICE인프라
