# 이름 두 글자에 쓸 음절 — 성별과 위치 (2026-08-06)
#
# ## 왜 준 목록을 그대로 안 쓰나
#
# 원 목록(`한자음-원목록.txt`)은 한자음 전체라 `갹`·`괵`·`굉`·`뉵`·`퍅`처럼 사람 이름에 쓰인 적이
# 없는 음절이 절반을 넘는다. 균등하게 뽑으면 「김갹괵」이 나오고 그건 이름으로 안 읽힌다.
# 원 목록은 **허용 알파벳**으로 두고(`build_names.py` 가 목록 밖 글자를 막는다) 여기에는 실제로
# 쓰이는 것만 남긴다. 뺀 것은 세 부류다.
#
#   · 성씨로만 쓰는 글자 — 홍 황 엄 심 표 방 노 임 장 전 조 천 추 탁 함
#   · 뜻이 걸리는 글자 — 돈(금전) 술 총 용도(用途)처럼 낱말이 되는 조합을 만드는 것
#   · 옛날식 — 덕 복 봉 만 학 열 익 웅 철 창 종 광 숙 옥 자 순 애 매 향
#
# **생년이 1987~2006년**이므로(`regen-mydata-identity.py`) 그 세대에 실제로 쓰인 이름이어야 한다.
# 「김복순」은 1940년대 이름이지 1995년생 이름이 아니다.
#
# ## 성별
#
#   M  남성만    주민등록번호 7번째 자리 1·3
#   F  여성만    주민등록번호 7번째 자리 2·4
#   N  누구나
#
# 처음에는 애매하면 N 으로 뒀는데, 그러면 「장서린(남)」·「전도윤(여)」처럼 **성별이 뒤집힌**
# 이름이 나왔다. N 은 실제로 양쪽에 쓰이는 글자만 둔다 — 지·민·서·현처럼.
#
# ## 위치
#
#   1  첫 글자만    「슬기」는 되지만 「기슬」은 안 된다
#   2  둘째 글자만  「지훈」은 되지만 「훈지」는 안 된다
#   B  둘 다
#
# 위치를 안 따지면 음절이 다 맞아도 이름이 뒤집혀 어색해진다.
#
# ## 뺀 것 둘 — 리·인
#
# `리` 는 경리·수리·윤리·정리·지리·영리·미리·서리를, `인` 은 주인·연인·지인·하인·미인·시인을
# 만든다. 낱말이 되는 조합이 너무 많아 금지 목록으로 막기보다 글자를 빼는 편이 낫다.
# 유리·효리·다인·재인 같은 멀쩡한 이름도 함께 잃지만, **이름이 낱말로 읽히는 쪽이 더 나쁘다.**
#
# 음절	성별	위치
가	F	1
건	M	B
겸	M	2
경	N	B
규	M	B
기	M	2
나	F	B
다	F	1
대	M	1
도	N	1
동	M	1
라	F	2
린	F	2
미	F	B
민	N	B
범	M	B
빈	N	2
상	M	1
서	N	B
석	M	2
선	N	B
섭	M	2
성	M	B
세	N	1
소	F	1
수	N	B
슬	F	1
승	M	B
시	N	1
아	F	2
연	N	B
영	N	B
예	F	1
온	N	1
용	M	1
우	N	2
욱	M	2
원	N	2
유	N	1
윤	N	B
율	N	2
은	F	2
재	N	1
정	N	1
주	N	B
준	M	B
지	N	1
진	N	2
찬	M	2
채	F	1
태	M	1
하	N	1
해	N	1
헌	M	2
혁	M	2
현	N	B
형	M	2
혜	F	1
호	M	2
환	M	2
효	N	1
훈	M	2
휘	N	2
희	F	2
